Date,Open,High,Low,Close
12/2017,"1,166.11","1,296.45","1,148.25","1,285.04"
11/2017,"1,179.27","1,197.70","1,079.90","1,162.06"
10/2017,"1,157.60","1,229.29","1,148.24","1,162.59"
09/2017,"1,182.30","1,217.82","1,122.95","1,157.28"
08/2017,"1,131.53","1,179.53","1,092.39","1,170.85"
07/2017,"1,068.34","1,158.01","1,047.02","1,132.96"
06/2017,"1,006.67","1,067.35","965.53","1,059.80"
05/2017,"1,052.50","1,068.82","968.82","1,006.40"
04/2017,"1,125.05","1,153.84","1,010.13","1,052.50"
03/2017,"1,212.38","1,240.99","1,070.87","1,125.05"
02/2017,"1,169.45","1,266.11","1,126.25","1,194.23"
01/2017,"1,076.64","1,210.32","1,071.08","1,153.23"
